GB2312	UTF8	UNICODE	charset 
a1a1	e38080	12288	　
a1a2	e38081	12289	、
a1a3	e38082	12290	。
a1a4	c2b7	183	·
a1a5	cb89	713	ˉ
a1a6	cb87	711	ˇ
a1a7	c2a8	168	¨
a1a8	e38083	12291	〃
a1a9	e38085	12293	々
a1aa	e28094	8212	—
a1ab	efbd9e	65374	～
a1ac	e28096	8214	‖
a1ad	e280a6	8230	…
a1ae	e28098	8216	‘
a1af	e28099	8217	’
a1b0	e2809c	8220	“
a1b1	e2809d	8221	”
a1b2	e38094	12308	〔
a1b3	e38095	12309	〕
a1b4	e38088	12296	〈
a1b5	e38089	12297	〉
a1b6	e3808a	12298	《
a1b7	e3808b	12299	》
a1b8	e3808c	12300	「
a1b9	e3808d	12301	」
a1ba	e3808e	12302	『
a1bb	e3808f	12303	』
a1bc	e38096	12310	〖
a1bd	e38097	12311	〗
a1be	e38090	12304	【
a1bf	e38091	12305	】
a1c0	c2b1	177	±
a1c1	c397	215	×
a1c2	c3b7	247	÷
a1c3	e288b6	8758	∶
a1c4	e288a7	8743	∧
a1c5	e288a8	8744	∨
a1c6	e28891	8721	∑
a1c7	e2888f	8719	∏
a1c8	e288aa	8746	∪
a1c9	e288a9	8745	∩
a1ca	e28888	8712	∈
a1cb	e288b7	8759	∷
a1cc	e2889a	8730	√
a1cd	e28aa5	8869	⊥
a1ce	e288a5	8741	∥
a1cf	e288a0	8736	∠
a1d0	e28c92	8978	⌒
a1d1	e28a99	8857	⊙
a1d2	e288ab	8747	∫
a1d3	e288ae	8750	∮
a1d4	e289a1	8801	≡
a1d5	e2898c	8780	≌
a1d6	e28988	8776	≈
a1d7	e288bd	8765	∽
a1d8	e2889d	8733	∝
a1d9	e289a0	8800	≠
a1da	e289ae	8814	≮
a1db	e289af	8815	≯
a1dc	e289a4	8804	≤
a1dd	e289a5	8805	≥
a1de	e2889e	8734	∞
a1df	e288b5	8757	∵
a1e0	e288b4	8756	∴
a1e1	e29982	9794	♂
a1e2	e29980	9792	♀
a1e3	c2b0	176	°
a1e4	e280b2	8242	′
a1e5	e280b3	8243	″
a1e6	e28483	8451	℃
a1e7	efbc84	65284	＄
a1e8	c2a4	164	¤
a1e9	efbfa0	65504	￠
a1ea	efbfa1	65505	￡
a1eb	e280b0	8240	‰
a1ec	c2a7	167	§
a1ed	e28496	8470	№
a1ee	e29886	9734	☆
a1ef	e29885	9733	★
a1f0	e2978b	9675	○
a1f1	e2978f	9679	●
a1f2	e2978e	9678	◎
a1f3	e29787	9671	◇
a1f4	e29786	9670	◆
a1f5	e296a1	9633	□
a1f6	e296a0	9632	■
a1f7	e296b3	9651	△
a1f8	e296b2	9650	▲
a1f9	e280bb	8251	※
a1fa	e28692	8594	→
a1fb	e28690	8592	←
a1fc	e28691	8593	↑
a1fd	e28693	8595	↓
a1fe	e38093	12307	〓
a2a1	e285b0	8560	ⅰ
a2a2	e285b1	8561	ⅱ
a2a3	e285b2	8562	ⅲ
a2a4	e285b3	8563	ⅳ
a2a5	e285b4	8564	ⅴ
a2a6	e285b5	8565	ⅵ
a2a7	e285b6	8566	ⅶ
a2a8	e285b7	8567	ⅷ
a2a9	e285b8	8568	ⅸ
a2aa	e285b9	8569	ⅹ
a2b1	e29288	9352	⒈
a2b2	e29289	9353	⒉
a2b3	e2928a	9354	⒊
a2b4	e2928b	9355	⒋
a2b5	e2928c	9356	⒌
a2b6	e2928d	9357	⒍
a2b7	e2928e	9358	⒎
a2b8	e2928f	9359	⒏
a2b9	e29290	9360	⒐
a2ba	e29291	9361	⒑
a2bb	e29292	9362	⒒
a2bc	e29293	9363	⒓
a2bd	e29294	9364	⒔
a2be	e29295	9365	⒕
a2bf	e29296	9366	⒖
a2c0	e29297	9367	⒗
a2c1	e29298	9368	⒘
a2c2	e29299	9369	⒙
a2c3	e2929a	9370	⒚
a2c4	e2929b	9371	⒛
a2c5	e291b4	9332	⑴
a2c6	e291b5	9333	⑵
a2c7	e291b6	9334	⑶
a2c8	e291b7	9335	⑷
a2c9	e291b8	9336	⑸
a2ca	e291b9	9337	⑹
a2cb	e291ba	9338	⑺
a2cc	e291bb	9339	⑻
a2cd	e291bc	9340	⑼
a2ce	e291bd	9341	⑽
a2cf	e291be	9342	⑾
a2d0	e291bf	9343	⑿
a2d1	e29280	9344	⒀
a2d2	e29281	9345	⒁
a2d3	e29282	9346	⒂
a2d4	e29283	9347	⒃
a2d5	e29284	9348	⒄
a2d6	e29285	9349	⒅
a2d7	e29286	9350	⒆
a2d8	e29287	9351	⒇
a2d9	e291a0	9312	①
a2da	e291a1	9313	②
a2db	e291a2	9314	③
a2dc	e291a3	9315	④
a2dd	e291a4	9316	⑤
a2de	e291a5	9317	⑥
a2df	e291a6	9318	⑦
a2e0	e291a7	9319	⑧
a2e1	e291a8	9320	⑨
a2e2	e291a9	9321	⑩
a2e5	e388a0	12832	㈠
a2e6	e388a1	12833	㈡
a2e7	e388a2	12834	㈢
a2e8	e388a3	12835	㈣
a2e9	e388a4	12836	㈤
a2ea	e388a5	12837	㈥
a2eb	e388a6	12838	㈦
a2ec	e388a7	12839	㈧
a2ed	e388a8	12840	㈨
a2ee	e388a9	12841	㈩
a2f1	e285a0	8544	Ⅰ
a2f2	e285a1	8545	Ⅱ
a2f3	e285a2	8546	Ⅲ
a2f4	e285a3	8547	Ⅳ
a2f5	e285a4	8548	Ⅴ
a2f6	e285a5	8549	Ⅵ
a2f7	e285a6	8550	Ⅶ
a2f8	e285a7	8551	Ⅷ
a2f9	e285a8	8552	Ⅸ
a2fa	e285a9	8553	Ⅹ
a2fb	e285aa	8554	Ⅺ
a2fc	e285ab	8555	Ⅻ
a3a1	efbc81	65281	！
a3a2	efbc82	65282	＂
a3a3	efbc83	65283	＃
a3a4	efbfa5	65509	￥
a3a5	efbc85	65285	％
a3a6	efbc86	65286	＆
a3a7	efbc87	65287	＇
a3a8	efbc88	65288	（
a3a9	efbc89	65289	）
a3aa	efbc8a	65290	＊
a3ab	efbc8b	65291	＋
a3ac	efbc8c	65292	，
a3ad	efbc8d	65293	－
a3ae	efbc8e	65294	．
a3af	efbc8f	65295	／
a3b0	efbc90	65296	０
a3b1	efbc91	65297	１
a3b2	efbc92	65298	２
a3b3	efbc93	65299	３
a3b4	efbc94	65300	４
a3b5	efbc95	65301	５
a3b6	efbc96	65302	６
a3b7	efbc97	65303	７
a3b8	efbc98	65304	８
a3b9	efbc99	65305	９
a3ba	efbc9a	65306	：
a3bb	efbc9b	65307	；
a3bc	efbc9c	65308	＜
a3bd	efbc9d	65309	＝
a3be	efbc9e	65310	＞
a3bf	efbc9f	65311	？
a3c0	efbca0	65312	＠
a3c1	efbca1	65313	Ａ
a3c2	efbca2	65314	Ｂ
a3c3	efbca3	65315	Ｃ
a3c4	efbca4	65316	Ｄ
a3c5	efbca5	65317	Ｅ
a3c6	efbca6	65318	Ｆ
a3c7	efbca7	65319	Ｇ
a3c8	efbca8	65320	Ｈ
a3c9	efbca9	65321	Ｉ
a3ca	efbcaa	65322	Ｊ
a3cb	efbcab	65323	Ｋ
a3cc	efbcac	65324	Ｌ
a3cd	efbcad	65325	Ｍ
a3ce	efbcae	65326	Ｎ
a3cf	efbcaf	65327	Ｏ
a3d0	efbcb0	65328	Ｐ
a3d1	efbcb1	65329	Ｑ
a3d2	efbcb2	65330	Ｒ
a3d3	efbcb3	65331	Ｓ
a3d4	efbcb4	65332	Ｔ
a3d5	efbcb5	65333	Ｕ
a3d6	efbcb6	65334	Ｖ
a3d7	efbcb7	65335	Ｗ
a3d8	efbcb8	65336	Ｘ
a3d9	efbcb9	65337	Ｙ
a3da	efbcba	65338	Ｚ
a3db	efbcbb	65339	［
a3dc	efbcbc	65340	＼
a3dd	efbcbd	65341	］
a3de	efbcbe	65342	＾
a3df	efbcbf	65343	＿
a3e0	efbd80	65344	｀
a3e1	efbd81	65345	ａ
a3e2	efbd82	65346	ｂ
a3e3	efbd83	65347	ｃ
a3e4	efbd84	65348	ｄ
a3e5	efbd85	65349	ｅ
a3e6	efbd86	65350	ｆ
a3e7	efbd87	65351	ｇ
a3e8	efbd88	65352	ｈ
a3e9	efbd89	65353	ｉ
a3ea	efbd8a	65354	ｊ
a3eb	efbd8b	65355	ｋ
a3ec	efbd8c	65356	ｌ
a3ed	efbd8d	65357	ｍ
a3ee	efbd8e	65358	ｎ
a3ef	efbd8f	65359	ｏ
a3f0	efbd90	65360	ｐ
a3f1	efbd91	65361	ｑ
a3f2	efbd92	65362	ｒ
a3f3	efbd93	65363	ｓ
a3f4	efbd94	65364	ｔ
a3f5	efbd95	65365	ｕ
a3f6	efbd96	65366	ｖ
a3f7	efbd97	65367	ｗ
a3f8	efbd98	65368	ｘ
a3f9	efbd99	65369	ｙ
a3fa	efbd9a	65370	ｚ
a3fb	efbd9b	65371	｛
a3fc	efbd9c	65372	｜
a3fd	efbd9d	65373	｝
a3fe	efbfa3	65507	￣
a4a1	e38181	12353	ぁ
a4a2	e38182	12354	あ
a4a3	e38183	12355	ぃ
a4a4	e38184	12356	い
a4a5	e38185	12357	ぅ
a4a6	e38186	12358	う
a4a7	e38187	12359	ぇ
a4a8	e38188	12360	え
a4a9	e38189	12361	ぉ
a4aa	e3818a	12362	お
a4ab	e3818b	12363	か
a4ac	e3818c	12364	が
a4ad	e3818d	12365	き
a4ae	e3818e	12366	ぎ
a4af	e3818f	12367	く
a4b0	e38190	12368	ぐ
a4b1	e38191	12369	け
a4b2	e38192	12370	げ
a4b3	e38193	12371	こ
a4b4	e38194	12372	ご
a4b5	e38195	12373	さ
a4b6	e38196	12374	ざ
a4b7	e38197	12375	し
a4b8	e38198	12376	じ
a4b9	e38199	12377	す
a4ba	e3819a	12378	ず
a4bb	e3819b	12379	せ
a4bc	e3819c	12380	ぜ
a4bd	e3819d	12381	そ
a4be	e3819e	12382	ぞ
a4bf	e3819f	12383	た
a4c0	e381a0	12384	だ
a4c1	e381a1	12385	ち
a4c2	e381a2	12386	ぢ
a4c3	e381a3	12387	っ
a4c4	e381a4	12388	つ
a4c5	e381a5	12389	づ
a4c6	e381a6	12390	て
a4c7	e381a7	12391	で
a4c8	e381a8	12392	と
a4c9	e381a9	12393	ど
a4ca	e381aa	12394	な
a4cb	e381ab	12395	に
a4cc	e381ac	12396	ぬ
a4cd	e381ad	12397	ね
a4ce	e381ae	12398	の
a4cf	e381af	12399	は
a4d0	e381b0	12400	ば
a4d1	e381b1	12401	ぱ
a4d2	e381b2	12402	ひ
a4d3	e381b3	12403	び
a4d4	e381b4	12404	ぴ
a4d5	e381b5	12405	ふ
a4d6	e381b6	12406	ぶ
